,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
0,AK,0,2,1,0,11,0,1
2,AK,0,2,1,0,11,0,1
3,AK,0,1,1,0,11,0,1
4,AK,0,2,3,1,11,1,3
5,AK,0,1,1,0,9,1,7
6,AK,0,1,6,1,10,0,6
7,AK,0,2,2,0,11,0,2
8,AK,0,1,1,0,9,0,1
9,AK,0,2,3,1,9,0,3
10,AK,0,2,3,1,7,0,3
13,AK,0,2,2,0,11,1,2
14,AK,0,2,3,1,11,0,3
15,AK,0,2,3,1,11,0,3
16,AK,0,2,3,1,7,0,3
17,AK,0,1,3,1,9,0,3
18,AK,0,2,3,1,11,0,3
19,AK,0,1,3,1,11,0,3
21,AK,0,2,1,0,9,0,1
22,AK,0,1,1,0,11,0,1
23,AK,0,2,6,0,8,1,7
24,AK,0,1,3,1,11,1,3
25,AK,0,1,1,0,10,1,1
26,AK,0,1,1,0,9,1,1
27,AK,0,1,3,1,11,0,3
28,AK,0,2,6,0,12,1,6
29,AK,0,1,6,0,11,0,6
30,AK,0,2,3,1,9,0,3
32,AK,0,2,3,1,10,0,3
33,AK,0,2,1,0,12,0,1
34,AK,0,1,1,0,11,0,1
35,AK,0,2,3,1,10,0,3
36,AK,0,2,1,0,10,0,1
37,AK,0,2,1,0,10,0,1
38,AK,0,2,1,0,11,1,1
40,AK,0,2,3,1,11,0,3
41,AK,0,1,2,0,11,0,2
42,AK,0,1,3,1,11,0,7
43,AK,0,1,2,0,0,0,2
44,AK,0,1,3,1,10,0,3
46,AL,0,2,1,0,12,0,1
47,AL,0,2,1,0,12,0,1
48,AL,0,1,2,0,10,0,2
49,AL,0,2,2,0,11,1,2
50,AL,0,2,2,0,8,0,2
51,AL,0,1,2,0,0,1,2
52,AL,0,2,2,0,10,0,2
53,AL,0,2,2,0,10,0,2
54,AL,0,1,2,0,9,1,2
55,AL,0,1,2,0,12,0,2
56,AL,0,2,1,0,11,0,1
57,AL,0,2,2,0,9,0,2
58,AL,0,1,2,0,10,1,2
59,AL,0,2,2,0,11,0,2
60,AL,0,2,1,0,0,0,1
61,AL,0,2,1,0,0,0,1
62,AL,0,2,1,0,10,0,1
63,AL,0,2,1,0,10,0,1
64,AL,0,1,2,0,11,0,2
65,AL,0,2,1,0,10,0,1
66,AL,0,1,2,0,11,0,2
