,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,St,DelinqntSv,Sex,Race,TribeSv,EdLevlSv,SpecEdSv,RaceEthn
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,AK,0,2,1,0,11,0,1
2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,AK,0,2,1,0,11,0,1
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AK,0,1,1,0,11,0,1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,2,3,1,11,1,3
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,1,1,0,9,1,7
6,1,0,0,0,0,0,1,1,0,0,0,0,0,1,AK,0,1,6,1,10,0,6
7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,2,2,0,11,0,2
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,1,1,0,9,0,1
9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,2,3,1,9,0,3
10,1,0,0,0,0,0,1,0,0,0,0,0,1,1,AK,0,2,3,1,7,0,3
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AK,0,2,2,0,11,1,2
14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,2,3,1,11,0,3
15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,2,3,1,11,0,3
16,1,0,0,0,1,0,1,0,0,0,0,0,0,0,AK,0,2,3,1,7,0,3
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,1,3,1,9,0,3
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,AK,0,2,3,1,11,0,3
19,1,0,0,0,0,0,0,0,0,0,0,0,1,1,AK,0,1,3,1,11,0,3
21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,AK,0,2,1,0,9,0,1
22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,AK,0,1,1,0,11,0,1
23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,2,6,0,8,1,7
24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,1,3,1,11,1,3
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AK,0,1,1,0,10,1,1
26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,1,1,0,9,1,1
27,1,0,0,0,1,0,1,0,0,0,0,0,0,1,AK,0,1,3,1,11,0,3
28,1,0,1,0,1,0,0,1,0,0,0,0,1,0,AK,0,2,6,0,12,1,6
29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,AK,0,1,6,0,11,0,6
30,1,1,0,0,1,0,1,0,0,0,0,0,0,1,AK,0,2,3,1,9,0,3
32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,2,3,1,10,0,3
33,1,0,0,0,1,0,1,0,0,0,0,0,0,0,AK,0,2,1,0,12,0,1
34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,AK,0,1,1,0,11,0,1
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AK,0,2,3,1,10,0,3
36,1,0,0,0,0,0,1,0,0,0,0,0,0,0,AK,0,2,1,0,10,0,1
37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,AK,0,2,1,0,10,0,1
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,AK,0,2,1,0,11,1,1
