,ILNAsv,AcSuppSv,PSEdSuppSv,CareerSv,EmplyTrSv,BudgetSv,HousEdSv,HlthEdSv,FamSuppSv,MentorSv,SILsv,RmBrdFASv,EducFinaSv,OthrFinaSv,Num_services
0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2
1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
6,1,0,0,0,0,0,1,1,0,0,0,0,0,1,4
7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
10,1,0,0,0,0,0,1,0,0,0,0,0,1,1,4
11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
12,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
16,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3
17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
19,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3
20,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3
21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
22,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3
23,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
27,1,0,0,0,1,0,1,0,0,0,0,0,0,1,4
28,1,0,1,0,1,0,0,1,0,0,0,0,1,0,5
29,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2
30,1,1,0,0,1,0,1,0,0,0,0,0,0,1,5
31,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
32,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
33,1,0,0,0,1,0,1,0,0,0,0,0,0,0,3
34,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2
35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
40,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
44,1,0,0,0,0,0,1,0,0,0,0,0,0,1,3
45,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
46,0,1,1,1,1,1,1,1,1,1,0,0,1,0,10
47,0,1,1,1,0,0,0,1,0,0,1,0,0,1,6
48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
50,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
51,0,1,0,0,1,1,0,1,1,1,0,0,0,0,6
52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
53,0,0,0,0,0,1,0,1,0,1,0,0,0,0,3
54,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
55,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
56,0,1,0,1,1,1,1,1,1,1,1,0,0,0,9
57,0,1,0,0,0,0,0,0,1,1,0,0,0,0,3
58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
59,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
60,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
61,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
63,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
64,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
65,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2
66,1,1,0,1,0,0,0,0,0,0,0,0,1,1,5
67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
69,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2
70,0,1,0,1,0,1,1,1,1,1,0,0,1,1,9
71,0,1,0,0,0,1,1,1,1,1,0,1,1,1,9
72,0,1,1,1,1,1,1,1,1,1,0,0,1,0,10
73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
74,0,0,0,1,1,1,1,1,1,1,0,0,0,0,7
75,0,1,0,1,0,1,0,1,0,1,0,0,0,0,5
76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
77,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4
78,0,1,0,0,0,1,1,1,0,0,1,0,0,1,6
79,0,1,0,0,0,1,0,0,1,0,0,0,0,0,3
80,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
81,0,1,0,0,0,1,0,0,0,1,0,0,0,0,3
82,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
84,0,0,0,0,0,1,0,0,1,0,0,0,1,0,3
85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
86,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
87,0,1,0,0,0,1,1,1,0,0,1,0,0,1,6
88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
89,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
90,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
91,0,1,0,0,0,1,0,0,0,1,1,0,0,0,4
92,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
93,0,1,1,1,1,1,1,1,1,1,0,0,1,0,10
94,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2
95,0,0,0,1,0,0,0,1,1,0,0,0,0,0,3
96,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2
97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
98,0,1,0,1,0,0,0,1,1,1,0,0,0,0,5
99,0,0,1,0,0,1,0,1,1,0,0,0,1,1,6
100,0,1,0,0,0,0,0,1,0,0,0,0,1,1,4
101,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
102,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2
103,1,1,0,0,0,1,1,1,1,1,0,0,0,0,7
104,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
105,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
106,1,0,0,1,0,0,1,1,1,1,0,0,0,0,6
107,0,1,0,1,1,0,1,1,1,0,0,0,0,1,7
108,1,1,1,0,1,1,0,1,1,1,0,0,0,0,8
109,1,0,0,1,0,0,0,1,0,0,0,0,0,1,4
110,1,1,0,1,1,1,1,1,1,1,0,0,1,1,11
111,0,1,0,1,1,1,1,1,1,1,0,0,0,0,8
112,0,1,0,1,0,1,1,1,1,0,0,0,0,0,6
113,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2
114,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2
115,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
116,1,0,1,0,0,0,0,1,1,0,0,0,0,0,4
117,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
118,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3
119,0,1,0,1,1,0,0,1,1,0,0,0,1,0,6
120,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3
121,1,0,0,1,0,1,0,0,0,1,0,0,0,0,4
122,0,0,0,0,0,0,1,1,1,1,0,0,0,0,4
123,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2
124,1,1,1,1,1,0,0,1,1,1,1,0,0,0,9
125,0,1,0,0,0,0,1,0,1,0,0,0,0,0,3
126,1,1,0,1,1,0,1,1,1,1,0,0,1,0,9
127,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
128,0,1,1,1,1,0,1,1,1,0,0,1,1,1,10
129,0,0,0,1,0,0,1,1,1,1,1,0,0,0,6
130,1,1,0,1,0,0,1,1,1,1,0,0,0,0,7
